"","LENGTH","WEIGHT","ABUNDANCE","YEAR","SEASON","SURVEY","SURVEY_INITIAL","Age"
"1",5,0.3,1,2000,"Summer","TrawlData","T",0
"2",5.5,0.3,5,2000,"Summer","TrawlData","T",0
"3",5.5,0.4,4,2000,"Summer","TrawlData","T",0
"4",6,0.4,11,2000,"Summer","TrawlData","T",0
"5",5.5,0.5,8,2000,"Summer","TrawlData","T",0
"6",6,0.5,40,2000,"Summer","TrawlData","T",0
"7",6.5,0.5,7,2000,"Summer","TrawlData","T",0
"8",6,0.6,40,2000,"Summer","TrawlData","T",0
"9",6.5,0.6,44,2000,"Summer","TrawlData","T",0
"10",6,0.7,4,2000,"Summer","TrawlData","T",0
"11",6.5,0.7,47,2000,"Summer","TrawlData","T",0
"12",7,0.7,6,2000,"Summer","TrawlData","T",0
"13",6.5,0.8,37,2000,"Summer","TrawlData","T",0
"14",7,0.8,60,2000,"Summer","TrawlData","T",0
"15",6.5,0.9,15,2000,"Summer","TrawlData","T",0
"16",7,0.9,44,2000,"Summer","TrawlData","T",0
"17",7,1,29,2000,"Summer","TrawlData","T",0
"18",7.5,1,26,2000,"Summer","TrawlData","T",0
"19",8,1,3,2000,"Summer","TrawlData","T",0
"20",7,1.1,17,2000,"Summer","TrawlData","T",0
"21",7.5,1.1,31,2000,"Summer","TrawlData","T",0
"22",8,1.1,5,2000,"Summer","TrawlData","T",0
"23",7.5,1.2,31,2000,"Summer","TrawlData","T",0
"24",8,1.2,4,2000,"Summer","TrawlData","T",0
"25",7.5,1.3,19,2000,"Summer","TrawlData","T",0
"26",8,1.3,14,2000,"Summer","TrawlData","T",0
"27",7.5,1.4,2,2000,"Summer","TrawlData","T",0
"28",8,1.4,16,2000,"Summer","TrawlData","T",0
"29",7.5,1.5,2,2000,"Summer","TrawlData","T",0
"30",8,1.5,2,2000,"Summer","TrawlData","T",0
"31",8.5,1.5,3,2000,"Summer","TrawlData","T",0
"32",8,1.6,7,2000,"Summer","TrawlData","T",0
"33",8.5,1.6,6,2000,"Summer","TrawlData","T",0
"34",8,1.7,4,2000,"Summer","TrawlData","T",0
"35",8.5,1.7,4,2000,"Summer","TrawlData","T",0
"36",8,1.8,2,2000,"Summer","TrawlData","T",0
"37",8.5,1.9,6,2000,"Summer","TrawlData","T",0
"38",9,1.9,5,2000,"Summer","TrawlData","T",0
"39",9,2.1,4,2000,"Summer","TrawlData","T",0
"40",5,0.2,2,2001,"Summer","TrawlData","T",0
"41",5,0.3,14,2001,"Summer","TrawlData","T",0
"42",5.5,0.3,3,2001,"Summer","TrawlData","T",0
"43",5.5,0.4,18,2001,"Summer","TrawlData","T",0
"44",6,0.4,3,2001,"Summer","TrawlData","T",0
"45",5.5,0.5,5,2001,"Summer","TrawlData","T",0
"46",6,0.5,28,2001,"Summer","TrawlData","T",0
"47",6,0.6,19,2001,"Summer","TrawlData","T",0
"48",6.5,0.6,30,2001,"Summer","TrawlData","T",0
"49",6,0.7,3,2001,"Summer","TrawlData","T",0
"50",6.5,0.7,24,2001,"Summer","TrawlData","T",0
"51",7,0.7,14,2001,"Summer","TrawlData","T",0
"52",6.5,0.8,60,2001,"Summer","TrawlData","T",0
"53",7,0.8,29,2001,"Summer","TrawlData","T",0
"54",6.5,0.9,6,2001,"Summer","TrawlData","T",0
"55",7,0.9,43,2001,"Summer","TrawlData","T",0
"56",7.5,0.9,4,2001,"Summer","TrawlData","T",0
"57",7,1,35,2001,"Summer","TrawlData","T",0
"58",7.5,1,22,2001,"Summer","TrawlData","T",0
"59",7,1.1,14,2001,"Summer","TrawlData","T",0
"60",7.5,1.1,18,2001,"Summer","TrawlData","T",0
"61",7.5,1.2,4,2001,"Summer","TrawlData","T",0
"62",7.5,1.3,7,2001,"Summer","TrawlData","T",0
"63",7.5,1.4,4,2001,"Summer","TrawlData","T",0
"64",8,1.4,3,2001,"Summer","TrawlData","T",0
"65",8,1.5,2,2001,"Summer","TrawlData","T",0
"66",8.5,1.5,1,2001,"Summer","TrawlData","T",0
"67",4,0.2,4,2002,"Summer","TrawlData","T",0
"68",4.5,0.2,20,2002,"Summer","TrawlData","T",0
"69",4,0.3,1,2002,"Summer","TrawlData","T",0
"70",4.5,0.3,36,2002,"Summer","TrawlData","T",0
"71",5,0.3,138,2002,"Summer","TrawlData","T",0
"72",5.5,0.3,13,2002,"Summer","TrawlData","T",0
"73",5,0.4,103,2002,"Summer","TrawlData","T",0
"74",5.5,0.4,266,2002,"Summer","TrawlData","T",0
"75",5,0.5,8,2002,"Summer","TrawlData","T",0
"76",5.5,0.5,102,2002,"Summer","TrawlData","T",0
"77",6,0.5,150,2002,"Summer","TrawlData","T",0
"78",5,0.6,9,2002,"Summer","TrawlData","T",0
"79",6,0.6,377,2002,"Summer","TrawlData","T",0
"80",6.5,0.6,74,2002,"Summer","TrawlData","T",0
"81",6,0.7,38,2002,"Summer","TrawlData","T",0
"82",6.5,0.7,202,2002,"Summer","TrawlData","T",0
"83",7,0.7,13,2002,"Summer","TrawlData","T",0
"84",6.5,0.8,129,2002,"Summer","TrawlData","T",0
"85",7,0.8,120,2002,"Summer","TrawlData","T",0
"86",6.5,0.9,110,2002,"Summer","TrawlData","T",0
"87",7,0.9,147,2002,"Summer","TrawlData","T",0
"88",7.5,0.9,14,2002,"Summer","TrawlData","T",0
"89",6.5,1,18,2002,"Summer","TrawlData","T",0
"90",7,1,40,2002,"Summer","TrawlData","T",0
"91",7.5,1,19,2002,"Summer","TrawlData","T",0
"92",7,1.1,40,2002,"Summer","TrawlData","T",0
"93",7.5,1.1,28,2002,"Summer","TrawlData","T",0
"94",7,1.2,27,2002,"Summer","TrawlData","T",0
"95",7.5,1.2,28,2002,"Summer","TrawlData","T",0
"96",8,1.2,1,2002,"Summer","TrawlData","T",0
"97",7,1.3,14,2002,"Summer","TrawlData","T",0
"98",7.5,1.3,19,2002,"Summer","TrawlData","T",0
"99",8,1.3,8,2002,"Summer","TrawlData","T",0
"100",7.5,1.4,19,2002,"Summer","TrawlData","T",0
"101",8,1.4,3,2002,"Summer","TrawlData","T",0
"102",7.5,1.5,9,2002,"Summer","TrawlData","T",0
"103",8,1.5,10,2002,"Summer","TrawlData","T",0
"104",8,1.6,8,2002,"Summer","TrawlData","T",0
"105",8.5,1.6,1,2002,"Summer","TrawlData","T",0
"106",8,1.7,4,2002,"Summer","TrawlData","T",0
"107",8.5,1.7,3,2002,"Summer","TrawlData","T",0
"108",8.5,1.8,4,2002,"Summer","TrawlData","T",0
"109",8.5,1.9,2,2002,"Summer","TrawlData","T",0
"110",4,0.1,8,2003,"Summer","TrawlData","T",0
"111",4.5,0.1,7,2003,"Summer","TrawlData","T",0
"112",4.5,0.2,34,2003,"Summer","TrawlData","T",0
"113",5,0.2,18,2003,"Summer","TrawlData","T",0
"114",4.5,0.3,27,2003,"Summer","TrawlData","T",0
"115",5,0.3,114,2003,"Summer","TrawlData","T",0
"116",5.5,0.3,55,2003,"Summer","TrawlData","T",0
"117",5,0.4,24,2003,"Summer","TrawlData","T",0
"118",5.5,0.4,60,2003,"Summer","TrawlData","T",0
"119",6,0.4,23,2003,"Summer","TrawlData","T",0
"120",5.5,0.5,87,2003,"Summer","TrawlData","T",0
"121",6,0.5,108,2003,"Summer","TrawlData","T",0
"122",6.5,0.5,24,2003,"Summer","TrawlData","T",0
"123",5.5,0.6,7,2003,"Summer","TrawlData","T",0
"124",6,0.6,109,2003,"Summer","TrawlData","T",0
"125",6.5,0.6,139,2003,"Summer","TrawlData","T",0
"126",7,0.6,15,2003,"Summer","TrawlData","T",0
"127",6,0.7,54,2003,"Summer","TrawlData","T",0
"128",6.5,0.7,73,2003,"Summer","TrawlData","T",0
"129",7,0.7,7,2003,"Summer","TrawlData","T",0
"130",6.5,0.8,57,2003,"Summer","TrawlData","T",0
"131",7,0.8,113,2003,"Summer","TrawlData","T",0
