CRUISE,SAMPLER,STUDYAREA,DREDGE,STATION,STNNO,AREA,BANK,YEAR,MONTH,DAY,HOUR,MIN,DURMIN,DURSEC,SLATDEG,SLATMIN,SLONGDEG,SLONGMIN,HLATDEG,HLATMIN,HLONGDEG,HLONGMIN,SLATDEC,SLONGDEC,HLATDEC,HLONGDEC,MLATDEC,MLONGDEC,DEPTH,HOURDEC,DURDEC,ShtLongUTM,ShtLatUTM,HlLongUTM,HlLatUTM,DistTowed,AreaSwpt,LongDif,LatDif,DirEW,DirNS
JUN00,DREDGE,FORTH,C00/081,4,4A,MAINWEE,WEE,2000,7,1,23,15,10,45,56,14.44,2,2.67,56,14.74,2,2.12,56.24,-2.04,56.25,-2.04,56.24,-2.04,41,,,559216.28,6233285.42,559784.9,6233848.07,799.94,1599.88,-568.61,-562.65,E,N
JUN00,DREDGE,FORTH,C00/082,5,5A,MAINWEE,WEE,2000,7,1,23,38,10,50,56,15.14,2,1.5,56,15.51,2,1.01,56.25,-2.02,56.26,-2.02,56.26,-2.02,42,,,560415.9,6234589.8,560905.76,6235292.5,856.59,1713.19,-489.86,-702.7,E,N
JUN00,DREDGE,FORTH,C00/083,5,5B,MAINWEE,WEE,2000,7,2,0,14,10,45,56,15.6,2,0.93,56,15.1,2,1.4,56.26,-2.02,56.25,-2.02,56.26,-2.02,43,,,560986.18,6235445.78,560514.97,6234522.55,1036.53,2073.06,471.21,923.23,W,S
JUN00,DREDGE,FORTH,C00/084,4,4B,MAINWEE,WEE,2000,7,2,0,56,10,30,56,14.38,2,2.59,56,14.64,2,2.12,56.24,-2.04,56.24,-2.04,56.24,-2.04,43,,,559304.65,6233171.62,559779.33,6233655.04,677.52,1355.04,-474.69,-483.43,E,N
JUN00,DREDGE,FORTH,C00/085,8,8A,NTHWEEOUT,WEE,2000,7,2,2,11,10,25,56,22.51,1,56.02,56,22.94,1,56.04,56.38,-1.93,56.38,-1.93,56.38,-1.93,47,,,565858.78,6248344.37,565824.75,6249145.38,801.72,1603.45,34.03,-801,W,N
JUN00,DREDGE,FORTH,C00/086,8,8B,NTHWEEOUT,WEE,2000,7,2,2,32,11,10,56,23.09,1,55.95,56,22.45,1,55.91,56.38,-1.93,56.37,-1.93,56.38,-1.93,47,,,565913.02,6249426.91,565972.56,6248244.09,1184.31,2368.63,-59.54,1182.82,E,S
MAR01,DREDGE,FORTH,C01/024,8,8A,NTHWEE,WEE,2001,3,9,20,19,10,20,56,25.06,1,57.98,56,25.07,1,58.72,56.42,-1.97,56.42,-1.98,56.42,-1.97,43,,,563768.29,6253038.13,563012.15,6253056.52,756.36,1512.73,756.14,-18.39,W,N
MAR01,DREDGE,FORTH,C01/025,8,8B,NTHWEE,WEE,2001,3,9,20,38,10,0,56,24.99,1,58.8,56,25.03,1,57.94,56.42,-1.98,56.42,-1.97,56.42,-1.97,44,,,562926.98,6252904.97,563812.31,6252983.13,888.77,1777.54,-885.33,-78.16,E,N
MAR01,DREDGE,FORTH,C01/026,9,9A,NORTHMARR,MARR,2001,3,9,22,57,10,0,56,27.81,1,44.8,56,27.81,1,44.11,56.46,-1.75,56.46,-1.74,56.46,-1.74,49,,,577228.2,6258371.94,577931.69,6258381.12,703.55,1407.1,-703.49,-9.18,E,N
MAR01,DREDGE,FORTH,C01/027,9,9B,NORTHMARR,MARR,2001,3,9,23,27,11,0,56,27.82,1,44.16,56,27.82,1,44.84,56.46,-1.74,56.46,-1.75,56.46,-1.74,54,,,577885.92,6258411.82,577185.89,6258382.3,700.65,1401.31,700.03,29.52,W,S
MAR01,DREDGE,FORTH,C01/028,5,5A,MAINWEE,WEE,2001,3,11,2,48,10,10,56,15.02,2,1.57,56,15.36,2,1.17,56.25,-2.03,56.26,-2.02,56.25,-2.02,44,,,560339.4,6234375.36,560741.43,6235011.86,752.84,1505.68,-402.03,-636.5,E,N
MAR01,DREDGE,FORTH,C01/029,5,5B,MAINWEE,WEE,2001,3,11,3,7,10,15,56,15.35,2,1.17,56,14.93,2,1.51,56.26,-2.02,56.25,-2.03,56.25,-2.02,45,,,560742.86,6234984.05,560405.81,6234207.46,846.57,1693.15,337.04,776.59,W,S
JUN01,DREDGE,FORTH,C01/187,1,1A,SOUTHBER,BERWICKS,2001,5,27,20,50,10,0,56,3.61,1,19.87,56,3.97,1,19.46,56.06,-1.33,56.07,-1.32,56.06,-1.33,48.8,,,603914.07,6214037.21,604328.46,6214717.17,796.29,1592.57,-414.39,-679.97,E,N
JUN01,DREDGE,FORTH,C01/188,1,1B,SOUTHBER,BERWICKS,2001,5,27,21,9,10,0,56,4.06,1,19.28,56,3.8,1,19.64,56.07,-1.32,56.06,-1.33,56.07,-1.32,44.4,,,604509.26,6214881.16,604147.67,6214380.61,617.49,1234.99,361.58,500.56,W,S
JUN01,DREDGE,FORTH,C01/189,2,2A,NORTHBER,BERWICKS,2001,5,27,21,47,10,0,56,7.05,1,23.32,56,7.44,1,23.33,56.12,-1.39,56.12,-1.39,56.12,-1.39,45,,,600185.15,6220330.5,600155.99,6221046.13,716.22,1432.45,29.15,-715.63,W,N
JUN01,DREDGE,FORTH,C01/190,2,2B,NORTHBER,BERWICKS,2001,5,27,22,7,10,0,56,7.6,1,23.36,56,7.21,1,23.25,56.13,-1.39,56.12,-1.39,56.12,-1.39,45,,,600115.96,6221340.25,600247.85,6220619.6,732.62,1465.24,-131.89,720.65,E,S
JUN01,DREDGE,FORTH,C01/191,6,6A,MAINWEE,WEE,2001,5,28,0,39,10,7,56,14.29,1,58.93,56,14.77,1,58.91,56.24,-1.98,56.25,-1.98,56.24,-1.98,45.2,,,563084.63,6233060.65,563097.4,6233943.97,883.41,1766.83,-12.78,-883.32,E,N
JUN01,DREDGE,FORTH,C01/192,6,6B,MAINWEE,WEE,2001,5,28,0,59,10,1,56,14.76,1,58.98,56,14.37,1,58.94,56.25,-1.98,56.24,-1.98,56.24,-1.98,46,,,563027.5,6233920.68,563070.23,6233195.88,726.06,1452.12,-42.73,724.8,E,S
JUN01,DREDGE,FORTH,C01/193,5,5A,MAINWEE,WEE,2001,5,28,1,26,10,4,56,15.07,2,1.44,56,15.47,2,1.08,56.25,-2.02,56.26,-2.02,56.25,-2.02,42.1,,,560475.46,6234468.19,560838.76,6235211.76,827.58,1655.16,-363.3,-743.57,E,N
JUN01,DREDGE,FORTH,C01/194,5,5B,MAINWEE,WEE,2001,5,28,1,45,10,5,56,15.5,2,0.96,56,15.19,2,1.34,56.26,-2.02,56.25,-2.02,56.26,-2.02,42.2,,,560958.66,6235276.56,560575.64,6234686.68,703.31,1406.62,383.01,589.87,W,S
JUN01,DREDGE,FORTH,C01/195,4,4A,MAINWEE,WEE,2001,5,28,2,4,10,12,56,14.95,2,1.62,56,14.66,2,2.12,56.25,-2.03,56.24,-2.04,56.25,-2.03,42.6,,,560288.67,6234237.35,559786.97,6233699.68,735.38,1470.77,501.7,537.67,W,S
JUN01,DREDGE,FORTH,C01/196,4,4B,MAINWEE,WEE,2001,5,28,2,22,11,1,56,14.64,2,2.37,56,14.94,2,1.76,56.24,-2.04,56.25,-2.03,56.25,-2.03,42.4,,,559525.31,6233647.79,560146.39,6234218.64,843.58,1687.16,-621.09,-570.86,E,N
JUN01,DREDGE,FORTH,C01/197,3,3A,MAINWEE,WEE,2001,5,28,2,45,10,40,56,14,2,2.86,56,13.63,2,3.22,56.23,-2.05,56.23,-2.05,56.23,-2.05,39.9,,,559038.56,6232464.78,558672.08,6231762.14,792.47,1584.94,366.48,702.63,W,S
JUN01,DREDGE,FORTH,C01/198,3,3B,MAINWEE,WEE,2001,5,28,3,3,10,21,56,13.59,2,3.45,56,13.87,2,2.99,56.23,-2.06,56.23,-2.05,56.23,-2.05,39,,,558433.41,6231680.95,558906.62,6232216.2,714.44,1428.87,-473.21,-535.25,E,N
JUN01,DREDGE,FORTH,C01/199,7,7A,STANDREWS,STANDREWS,2001,5,28,20,16,10,0,56,24.96,2,26.92,56,24.97,2,25.85,56.42,-2.45,56.42,-2.43,56.42,-2.44,30,,,534019.02,6252526.47,535118.1,6252550.26,1099.33,2198.67,-1099.08,-23.8,E,N
JUN01,DREDGE,FORTH,C01/200,7,7B,STANDREWS,STANDREWS,2001,5,28,20,34,10,15,56,24.95,2,25.71,56,24.97,2,26.48,56.42,-2.43,56.42,-2.44,56.42,-2.43,31,,,535262.41,6252508.79,534469.33,6252537.52,793.59,1587.18,793.07,-28.73,W,N
OCT01,DREDGE,FORTH,C01/342,3,3A,MAINWEE,WEE,2001,10,16,20,10,10,12,56,13.99,2,3.32,56,13.68,2,3.03,56.23,-2.06,56.23,-2.05,56.23,-2.05,37,,,558558.56,6232428.49,558869.22,6231855.76,651.55,1303.1,-310.66,572.72,E,S
