DredgeStn,GrabNo,GrabID,CRUISE,YEAR,MONTH,DAY,HOUR,MIN,LATDEG,LATMIN,LONGDEG,LONGMIN,LATDEC,LONGDEC,DEPTH,VALID,SAMPLE,SANDEELS,HISTORY
1,1,01/001,MAR04,2004,3,22,20,47,56,3.37,1,19.34,56.06,-1.32,48.9,Y,Y,0,SAMPLE
1,2,01/002,MAR04,2004,3,22,20,49,56,3.39,1,19.35,56.06,-1.32,48.8,Y,Y,0,SAMPLE
1,3,01/003,MAR04,2004,3,22,20,52,56,3.41,1,19.4,56.06,-1.32,48.2,Y,Y,0,SAMPLE
1,4,01/004,MAR04,2004,3,22,20,54,56,3.44,1,19.46,56.06,-1.32,48.1,Y,Y,0,SAMPLE
1,5,01/005,MAR04,2004,3,22,20,56,56,3.46,1,19.51,56.06,-1.32,47.4,Y,Y,0,SAMPLE
1,6,01/006,MAR04,2004,3,22,20,58,56,3.48,1,19.56,56.06,-1.33,47.4,N,N,,STONES
1,7,01/007,MAR04,2004,3,22,21,0,56,3.5,1,19.59,56.06,-1.33,47.2,Y,Y,0,SAMPLE
1,8,01/008,MAR04,2004,3,22,21,3,56,3.52,1,19.63,56.06,-1.33,47.1,Y,Y,0,SAMPLE
1,9,01/009,MAR04,2004,3,22,21,5,56,3.55,1,19.67,56.06,-1.33,46.8,Y,Y,0,SAMPLE
1,10,01/010,MAR04,2004,3,22,21,7,56,3.58,1,19.72,56.06,-1.33,46.8,Y,Y,0,SAMPLE
1,11,01/011,MAR04,2004,3,22,21,9,56,3.6,1,19.75,56.06,-1.33,46.5,N,N,,STONES
1,12,01/012,MAR04,2004,3,22,21,11,56,3.64,1,19.81,56.06,-1.33,46.7,Y,Y,0,SAMPLE
1,13,01/013,MAR04,2004,3,22,21,13,56,3.66,1,19.83,56.06,-1.33,46.6,N,N,,STONES
1,14,01/014,MAR04,2004,3,22,21,15,56,3.68,1,19.87,56.06,-1.33,46.3,N,N,,STONES
1,15,01/015,MAR04,2004,3,22,21,16,56,3.71,1,19.91,56.06,-1.33,46.2,Y,Y,0,SAMPLE
1,16,01/016,MAR04,2004,3,22,21,19,56,3.74,1,19.95,56.06,-1.33,46.1,N,N,,STONES
1,17,01/017,MAR04,2004,3,22,21,19,56,3.77,1,19.99,56.06,-1.33,46.1,Y,Y,0,SAMPLE
1,18,01/018,MAR04,2004,3,22,21,30,56,3.66,1,19.33,56.06,-1.32,46.8,Y,Y,0,SAMPLE
1,19,01/019,MAR04,2004,3,22,21,32,56,3.67,1,19.4,56.06,-1.32,46.5,Y,Y,0,SAMPLE
1,20,01/020,MAR04,2004,3,22,21,34,56,3.69,1,19.46,56.06,-1.32,46,Y,Y,0,SAMPLE
1,21,01/021,MAR04,2004,3,22,21,36,56,3.72,1,19.52,56.06,-1.32,46.1,N,N,,STONES
