HAUL,CRUISE,STUDYAREA,GEARTYPE,DEMSTN,STATSQ,DAY,MONTH,YEAR,HOUR,MIN,DURATION,DEPTH,SLATDEG,SLATMIN,SLONGDEG,SLONGMIN,HLATDEG,HLATMIN,HLONGDEG,HLONGMIN,AREASWPT,VOLSWPT,HOURDEC,DURDEC,SLATDEC,SLONGDEC,HLATDEC,HLONGDEC,MLATDEC,MLONGDEC
C00/056,JUN00,FORTH,Pelagic,,41E7,15,6,2000,6,15,19,50,56,17.54,2,7.69,56,17.48,2,8.64,,,6.25,0.32,56.29,-2.13,56.29,-2.14,56.29,-2.14
C00/057,JUN00,FORTH,Pelagic,,41E8,15,6,2000,8,55,20,50,56,17.59,1,46.45,56,17.59,1,48.07,,,8.92,0.33,56.29,-1.77,56.29,-1.8,56.29,-1.79
C00/058,JUN00,FORTH,Pelagic,,41E8,16,6,2000,8,30,30,60,56,7.62,1,30.26,56,7.56,1,32.67,,,8.5,0.5,56.13,-1.5,56.13,-1.54,56.13,-1.52
C00/059,JUN00,FORTH,Pelagic,,41E8,16,6,2000,10,35,20,45,56,7.45,1,20.45,56,7.48,1,22.07,,,10.58,0.33,56.12,-1.34,56.12,-1.37,56.12,-1.35
C00/060,JUN00,FORTH,Pelagic,,41E7,18,6,2000,9,20,30,45,56,14.3,2,5.07,56,14.16,2,3.1,,,9.33,0.5,56.24,-2.08,56.24,-2.05,56.24,-2.07
C00/061,JUN00,FORTH,Pelagic,,41E8,19,6,2000,7,20,30,40,56,22.45,1,54.75,56,22.48,1,56.98,,,7.33,0.5,56.37,-1.91,56.37,-1.95,56.37,-1.93
C00/062,JUN00,FORTH,Demersal,C,41E8,20,6,2000,6,15,30,49,56,27.31,1,49.79,56,27.34,1,47.14,32178.46,96535.39,6.25,0.5,56.46,-1.83,56.46,-1.79,56.46,-1.81
C00/063,JUN00,FORTH,Demersal,G,41E8,20,6,2000,9,45,30,49.86,56,17.02,1,31.7,56,15.86,1,32.83,31276.69,93830.06,9.75,0.5,56.28,-1.53,56.26,-1.55,56.27,-1.54
C00/064,JUN00,FORTH,Demersal,T,41E8,20,6,2000,13,15,30,58.43,56,2.03,1,21.06,56,2.62,1,23.68,35520.76,106562.28,13.25,0.5,56.03,-1.35,56.04,-1.39,56.04,-1.37
C00/065,JUN00,FORTH,Demersal,R,41E7,21,6,2000,5,0,30,64,56,2.37,2,2.74,56,2.49,2,0.4,28201.89,93059.6,5,0.5,56.04,-2.05,56.04,-2.01,56.04,-2.03
C00/066,JUN00,FORTH,Demersal,S,41E8,21,6,2000,7,10,30,63.29,56,2.2,1,41.5,56,2.44,1,39.07,29874.63,96676.88,7.17,0.5,56.04,-1.69,56.04,-1.65,56.04,-1.67
C00/067,JUN00,FORTH,Demersal,P,41E8,21,6,2000,9,25,30,64,56,7.62,1,29.24,56,7.13,1,31.35,30073.71,93842.65,9.42,0.5,56.13,-1.49,56.12,-1.52,56.12,-1.5
C00/068,JUN00,FORTH,Demersal,K,41E8,21,6,2000,12,35,30,51.71,56,13.13,1,38.62,56,12.1,1,40.29,29232.22,89443.54,12.58,0.5,56.22,-1.64,56.2,-1.67,56.21,-1.66
C00/069,JUN00,FORTH,Demersal,Q,41E7,22,6,2000,4,45,30,54.29,56,2.53,2,21.68,56,2.57,2,19.14,32137.99,94754.25,4.75,0.5,56.04,-2.36,56.04,-2.32,56.04,-2.34
C00/070,JUN00,FORTH,Demersal,N,41E7,22,6,2000,6,55,30,61.86,56,7.06,2,10.74,56,8.09,2,9.15,31129.52,92971.03,6.92,0.5,56.12,-2.18,56.13,-2.15,56.13,-2.17
C00/071,JUN00,FORTH,Demersal,O,41E8,22,6,2000,9,5,30,49.29,56,6.82,1,51.8,56,8.17,1,50.81,31788.64,100684.81,9.08,0.5,56.11,-1.86,56.14,-1.85,56.12,-1.86
