"DateAdded","Cohort","Date","MeanLength","MeanWeight","MeanR","MeanS","MeanG","MeanRS","TotalCohortAbundance","AgeDays","AgeYears"
2000-06-17,2000,2000-06-17,6.96233903466607,0.930158501503706,4.30024666250853,1.62500279713599,0,2.59646271615679,11.6670218506884,169,0.463
2000-06-17,2000,2001-06-07,10.2117702949441,3.46863873507,18.9689962557269,4.98061711189936,0,3.80659103834875,10.3208790555732,513,1.4055
2000-06-17,2000,2002-06-17,12.8788322912013,7.39343254196008,42.8701191123894,9.9596567299568,0,4.30348080160697,9.62187899169138,898,2.4603
2000-06-17,2000,2003-03-14,12.8969323135591,4.66743651407242,19.061941821992,9.99984183491613,0,1.90385317606089,9.11860126618722,1073,2.9397
2000-06-17,2000,2003-09-30,14.4522400676892,8.90208843218936,47.0527352619145,14.0625732540919,0,3.34551191605213,8.74580337944298,1473,4.0356
2000-06-17,2000,2004-07-26,15.7129923135327,12.1993453731525,69.7537478404006,18.0680278472573,0,3.86069688884659,8.18660631051224,1708,4.6795
2000-06-17,2000,2005-08-30,16.9827516052245,14.9718973444005,85.5777085605726,22.8077176799814,0,3.75207698288255,7.44100980732613,2142,5.8685
2000-06-17,2000,2006-03-18,16.9827517486568,10.5554926651588,51.7591196063217,22.8077182520661,0,2.26905441169277,7.06821147913838,2177,5.9644
2000-06-17,2000,2007-04-22,17.8849036447065,14.0216574511269,75.4339090406175,26.6365997650236,0,2.83187436132217,6.32261529856195,2612,7.1562
2000-06-17,2000,2008-02-16,18.6670013239953,13.8560716628805,73.7677807506301,30.2841472055589,0,2.43576655619544,5.7634181454775,2847,7.8
2000-06-17,2000,2008-05-26,20.5336490505346,31.832648072099,212.517454728926,40.3054674424477,0,5.27241989337239,5.57701894641198,3047,8.3479
2001-06-07,2001,2001-06-07,6.66841284337349,0.806782518072289,3.7039837253012,1.41898337108434,0,2.57722499277108,11.2503028733968,158,0.4329
2001-06-07,2001,2002-06-17,10.7137251703836,4.18434491327466,23.6305260227575,5.73325785059137,0,4.12031711931547,10.0313939826969,543,1.4877
2001-06-07,2001,2003-03-14,11.0086221018017,2.79052179931776,10.0277601407182,6.21703085897522,0,1.61083042622858,9.71140221995339,718,1.9671
2001-06-07,2001,2003-09-30,12.9102231438064,6.34743207813819,32.7956540984843,10.021589875246,0,3.27213172023003,9.47436990040993,1118,3.063
2001-06-07,2001,2004-07-26,14.3929300489031,9.53078474771213,53.6882819773836,13.8832721662949,0,3.86711329086161,9.11882357341531,1353,3.7068
2001-06-07,2001,2005-08-30,15.8703343452031,12.4016463591179,69.7190527085232,18.6104982352351,0,3.74608419207778,8.64476116930212,1787,4.8959
2001-06-07,2001,2006-03-18,15.8703343038496,8.73024345192613,40.9947919363622,18.6104980909721,0,2.20251462761792,8.40773075476414,1822,4.9918
2001-06-07,2001,2007-04-22,16.9003747844955,12.0474159164033,63.2609627467984,22.4733451463742,0,2.81482177632536,7.93366883040826,2257,6.1836
2001-06-07,2001,2008-02-16,17.8107965243891,12.2828809123684,63.6455963799185,26.303166206274,0,2.41967952900819,7.57812194572398,2492,6.8274
2001-06-07,2001,2008-05-26,19.7915842419432,28.5102159253814,187.101636656388,36.0898917033689,0,5.18420801854376,7.45960644407283,2692,7.3753
2002-06-17,2002,2002-06-17,6.20466000200179,0.688414462624076,3.28452164319007,1.16518251795619,0,2.80234296880862,11.3973346929859,168,0.4603
2002-06-17,2002,2003-03-14,8.20932285644315,1.01335747821394,2.44018642538595,2.59625366718073,0,0.930052471883091,10.0284044092157,343,0.9397
2002-06-17,2002,2003-09-30,10.9343730492292,3.79913431920486,19.0264540453558,6.09903827583383,0,3.11750373796824,9.28056320713395,743,2.0356
2002-06-17,2002,2004-07-26,12.7513233336676,6.72894855981871,37.4136798827364,9.66177399338939,0,3.87234448970487,8.79915581436651,978,2.6795
2002-06-17,2002,2005-08-30,14.5056883935014,9.56733999460818,52.8201500560023,14.2165075098916,0,3.71501748718935,8.15728277630585,1412,3.8685
2002-06-17,2002,2006-03-18,14.5056883078766,6.70618707675261,29.7376956038446,14.2165072568018,0,2.09088547397812,7.83634627546712,1447,3.9644
2002-06-17,2002,2007-04-22,15.7007191957092,9.82502754163785,50.138917042735,18.0237209091738,0,2.78166084768773,7.19447350762548,1882,5.1562
2002-06-17,2002,2008-02-16,16.779812179871,10.4738155353492,52.4610461972324,21.9983619009439,0,2.38455579392163,6.71306862760483,2117,5.8
2002-06-17,2002,2008-05-26,19.0753937213783,25.9862740509639,168.292652291319,32.3142015950713,0,5.20782884564173,6.55260029114059,2317,6.3479
2003-06-15,2003,2003-09-30,8.24604103768367,1.52827649052331,7.10500198076706,2.65535965714724,0,2.6567136536083,10.1542859295308,380,1.0411
2003-06-15,2003,2004-07-26,11.08445121049,4.44914020972753,24.4056737810072,6.36107348019446,0,3.83610969701419,9.21206536824447,615,1.6849
2003-06-15,2003,2005-08-30,13.1329106130884,7.11451593209619,38.5862926970376,10.5605840165517,0,3.65292052721111,8.61569272714053,1049,2.874
2003-06-15,2003,2006-03-18,13.1329107297904,4.94295806286364,20.4697104051662,10.5605842987039,0,1.93587604790988,8.31750719476021,1084,2.9699
2003-06-15,2003,2007-04-22,14.5262168473925,7.88517094198375,39.2632505796984,14.2818669346709,0,2.74871588853437,7.7211364332782,1519,4.1616
2003-06-15,2003,2008-02-16,15.7903489841857,8.84928070294996,42.9024415159095,18.3374178364149,0,2.33913714704207,7.2738585300629,1754,4.8055
2003-06-15,2003,2008-05-26,18.4483393954319,23.8775275690534,153.017362310947,29.2323857121385,0,5.23452660076808,7.12476551590421,1954,5.3534
2005-05-26,2005,2005-08-30,6.5433043021488,0.796123655373142,3.86667533930415,1.32237409278901,0,2.90940060429622,11.6614931183812,338,0.926
2005-05-26,2005,2006-03-18,7.97202083423448,0.892006541899751,1.94468396201282,2.36014095555619,0,0.822192535688866,9.00961680122862,373,1.0219
2005-05-26,2005,2007-04-22,10.5889788900241,3.08067062803066,14.2525999111267,5.52686745654018,0,2.57878694593225,7.88068958723487,808,2.2137
2005-05-26,2005,2008-02-16,12.8139811220812,4.78430714317947,20.9175732427512,9.7943971635094,0,2.13566627459109,7.67536341415558,1043,2.8575
2005-05-26,2005,2008-05-26,16.8909812962674,18.8885306643566,118.371525264044,22.4331260366578,0,5.27664613575592,7.60692037625343,1243,3.4055
2006-06-18,2006,2007-04-22,8.78612595658723,1.73291733123882,7.65070592490896,3.16017857998101,0,2.41999040797444,9.63490009140808,420,1.1507
2006-06-18,2006,2008-02-16,11.7053488167944,3.60207125894252,14.9005033257323,7.46740104485105,0,1.9949408149658,7.79119577690169,655,1.7945
2006-06-18,2006,2008-05-26,16.2928150464444,16.9348979336652,105.197653965173,20.1345344025628,0,5.22449327593096,7.17662727889133,855,2.3425
