YEAR,AGE,SURVEY_INITIAL,SEASON
2000,0,T,Summer
2000,1,T,Summer
2000,2,T,Summer
2000,3,T,Summer
2000,4,T,Summer
2000,5,T,Summer
2001,0,T,Summer
2001,1,T,Summer
2001,2,T,Summer
2001,3,T,Summer
2001,4,T,Summer
2001,5,T,Summer
2001,6,T,Summer
2002,0,T,Summer
2002,1,T,Summer
2002,3,T,Summer
2002,4,T,Summer
2002,5,T,Summer
2002,6,T,Summer
2002,8,T,Summer
2002,9,T,Summer
2003,0,T,Summer
2003,1,T,Summer
2003,2,T,Summer
2003,3,T,Summer
2003,4,T,Summer
2003,5,T,Summer
2003,6,T,Summer
2003,7,T,Summer
2005,0,T,Summer
2005,1,T,Summer
2005,2,T,Summer
2005,3,T,Summer
2005,4,T,Summer
2005,5,T,Summer
2005,6,T,Summer
2005,7,T,Summer
2005,8,T,Summer
2006,0,T,Summer
2006,1,T,Summer
2006,2,T,Summer
2006,3,T,Summer
2006,4,T,Summer
2006,6,T,Summer
2008,1,T,Summer
2008,2,T,Summer
2008,3,T,Summer
2008,4,T,Summer
2008,5,T,Summer
2008,6,T,Summer
2008,7,T,Summer
2008,8,T,Summer
